[2026-06-12 17:16:21] === CRAWL START (limit=60) ===
[2026-06-12 17:16:26] Discovered 60 URLs after filtering
[2026-06-12 17:16:33] OK https://fitit.pt/ status=200 type=pricing scraper=firecrawl chars=12626
[2026-06-12 17:16:42] OK https://fitit.pt/mapa-de-aulas/ status=200 type=schedule scraper=firecrawl chars=46356 [SCHEDULE PAGE]
[2026-06-12 17:16:47] OK https://fitit.pt/servicos/ status=200 type=schedule scraper=firecrawl chars=7801 [SCHEDULE PAGE]
[2026-06-12 17:16:51] OK https://fitit.pt/inscricao/ status=200 type=pricing scraper=firecrawl chars=7110
[2026-06-12 17:16:56] OK https://fitit.pt/contactos/ status=200 type=contact scraper=firecrawl chars=4033
[2026-06-12 17:17:00] OK https://fitit.pt/quem-somos/ status=200 type=about scraper=firecrawl chars=4561
[2026-06-12 17:17:06] OK https://fitit.pt/modalidades/ status=200 type=classes scraper=firecrawl chars=3604
[2026-06-12 17:17:10] OK https://fitit.pt/forca/ status=200 type=classes scraper=firecrawl chars=8095
[2026-06-12 17:17:16] OK https://fitit.pt/resistencia/ status=200 type=classes scraper=firecrawl chars=6379
[2026-06-12 17:17:20] OK https://fitit.pt/body-mind/ status=200 type=classes scraper=firecrawl chars=7736
[2026-06-12 17:17:26] OK https://fitit.pt/mobilidade/ status=200 type=classes scraper=firecrawl chars=5555
[2026-06-12 17:17:41] OK https://fitit.pt/fun/ status=200 type=classes scraper=firecrawl chars=6684
[2026-06-12 17:17:45] OK https://fitit.pt/kids/ status=200 type=classes scraper=firecrawl chars=4319
[2026-06-12 17:17:52] OK https://fitit.pt/box-fit-it/ status=200 type=classes scraper=firecrawl chars=7484
[2026-06-12 17:17:56] OK https://fitit.pt/small-group-indoor/ status=200 type=classes scraper=firecrawl chars=6041
[2026-06-12 17:18:04] OK https://fitit.pt/modalidade/bodymind/ status=200 type=classes scraper=firecrawl chars=3078
[2026-06-12 17:18:09] OK https://fitit.pt/fitemcasa/ status=200 type=classes scraper=firecrawl chars=4605
[2026-06-12 17:18:14] OK https://fitit.pt/corporate/ status=200 type=general scraper=firecrawl chars=4321
[2026-06-12 17:18:23] OK https://fitit.pt/empresas/ status=200 type=pricing scraper=firecrawl chars=4614
[2026-06-12 17:18:28] OK https://fitit.pt/parcerias/ status=200 type=general scraper=firecrawl chars=5707
[2026-06-12 17:18:33] OK https://fitit.pt/parceria/ status=200 type=pricing scraper=firecrawl chars=3080
[2026-06-12 17:18:37] OK https://fitit.pt/treino-experimental/ status=200 type=pricing scraper=firecrawl chars=3661
[2026-06-12 17:18:41] OK https://fitit.pt/voucher/ status=200 type=pricing scraper=firecrawl chars=3610
[2026-06-12 17:18:46] OK https://fitit.pt/planos-off-peak/ status=200 type=pricing scraper=firecrawl chars=6047
[2026-06-12 17:18:52] OK https://fitit.pt/fitit-max/ status=200 type=pricing scraper=firecrawl chars=6976
[2026-06-12 17:18:56] OK https://fitit.pt/pack-familia/ status=200 type=pricing scraper=firecrawl chars=4912
[2026-06-12 17:19:04] OK https://fitit.pt/recrutamento/ status=200 type=general scraper=firecrawl chars=3059
[2026-06-12 17:19:08] OK https://fitit.pt/blog/ status=200 type=blog scraper=firecrawl chars=4942
[2026-06-12 17:19:13] OK https://fitit.pt/condicoes-contratuais/ status=200 type=legal scraper=firecrawl chars=18718
[2026-06-12 17:19:21] OK https://fitit.pt/politica-de-privacidade/ status=200 type=legal scraper=firecrawl chars=6130
[2026-06-12 17:19:28] OK https://fitit.pt/pack-familia-campanha/ status=200 type=general scraper=firecrawl chars=4032
[2026-06-12 17:19:32] OK https://fitit.pt/afinal-o-que-e-um-estilo-de-vida-ativo-e-como-mante-lo/ status=200 type=general scraper=firecrawl chars=6801
[2026-06-12 17:19:35] OK https://fitit.pt/estrategias-inteligentes-para-emagrecer/ status=200 type=general scraper=firecrawl chars=5811
[2026-06-12 17:19:40] OK https://fitit.pt/o-autocuidado-e-recuperacao-no-pos-treino/ status=200 type=general scraper=firecrawl chars=5476
[2026-06-12 17:19:44] OK https://fitit.pt/avaliacao-da-composicao-corporal-como-funciona-a-bioimpedancia/ status=200 type=general scraper=firecrawl chars=6041
[2026-06-12 17:19:48] OK https://fitit.pt/sarcopenia/ status=200 type=general scraper=firecrawl chars=5376
[2026-06-12 17:19:52] OK https://fitit.pt/exercicio-fisico-o-fator-motivacao/ status=200 type=general scraper=firecrawl chars=5499
[2026-06-12 17:19:56] OK https://fitit.pt/ortorexia-nervosa-qual-a-linha-que-separa-o-saudavel-do-demasiado-saudavel/ status=200 type=general scraper=firecrawl chars=7360
[2026-06-12 17:20:01] OK https://fitit.pt/quanto-de-homo-sapiens-ha-em-nos/ status=200 type=general scraper=firecrawl chars=5569
[2026-06-12 17:20:06] OK https://fitit.pt/suplementacao-por-creatina-traz-beneficios/ status=200 type=general scraper=firecrawl chars=7501
[2026-06-12 17:20:14] OK https://fitit.pt/saude-e-bem-estar-tendencias-para-2023/ status=200 type=general scraper=firecrawl chars=6941
[2026-06-12 17:20:18] OK https://fitit.pt/ginastica-hipopressiva-o-que-e-e-para-que-serve/ status=200 type=general scraper=firecrawl chars=5717
[2026-06-12 17:20:21] OK https://fitit.pt/mindful-eating/ status=200 type=general scraper=firecrawl chars=7072
[2026-06-12 17:20:27] OK https://fitit.pt/alimentacao-mediterranica/ status=200 type=general scraper=firecrawl chars=10310
